Email,Company,Website,Score,LCP,Sent_At
realsupport@projectchaiwala.com,Project Chaiwala,https://projectchaiwala.com,N/A,3.8s,2026-09-11T12:34:34.366682,Delivered
info@arcadiabyamna.com,Arcadia Fragrances,https://arcadiabyamna.com,N/A,3.8s,2026-09-11T12:39:36.857635,Delivered
info@fltrd.me,Fltrd Concept Store,https://fltrd.me,N/A,3.8s,2026-09-11T12:44:39.184769,Delivered
info@sanddollardubai.com,Sand Dollar Dubai,https://sanddollardubai.com,N/A,3.8s,2026-09-11T12:49:45.303396,Delivered
contact@urbannest.ae,Urban Nest UAE,https://urbannest.ae,N/A,3.8s,2026-09-11T12:54:47.563890,Delivered
info@bambah.com,Bambah Boutique,https://bambah.com,N/A,3.8s,2026-09-11T12:59:50.943492,Delivered
hello@saffronsouk.com,The Saffron Souk,https://saffronsouk.com,N/A,3.8s,2026-09-11T13:04:53.854219,Delivered
info@houseofpops.ae,House of Pops,https://houseofpops.ae,N/A,3.8s,2026-09-11T13:09:56.897635,Delivered
info@camelicious.ae,Camelicious,https://camelicious.ae,N/A,3.8s,2026-09-11T13:14:59.520905,Delivered
info@koita.com,Koita Foods,https://koita.com,N/A,3.8s,2026-09-11T13:20:02.470294,Delivered
hello@cartlow.com,Cartlow,https://cartlow.com,N/A,3.8s,2026-09-11T13:25:05.150202,Delivered
customercare@adventurehq.ae,Adventure HQ,https://adventurehq.ae,N/A,3.8s,2026-09-11T13:30:08.006661,Delivered
support@dubaiaudio.com,Dubai Audio,https://dubaiaudio.com,N/A,3.8s,2026-09-11T13:35:10.487282,Delivered
info@rawcoffee.ae,Raw Coffee Company,https://rawcoffeecompany.com,N/A,3.8s,2026-09-11T13:40:12.880884,Delivered
shot@nightjar.coffee,Nightjar Coffee,https://nightjar.coffee,N/A,3.8s,2026-09-11T13:45:15.207178,Delivered
info@archierose.com.au,Archie Rose Spirits UAE,https://archierose.com.au,N/A,3.8s,2026-09-11T13:50:17.729134,Delivered
info@bohosalon.ae,Boho Salon UAE,https://bohosalon.ae,N/A,3.8s,2026-09-11T13:55:20.433332,Delivered
info@espace.ae,Espace Real Estate,https://espace.ae,N/A,3.8s,2026-09-11T14:00:23.324140,Delivered
info@harbordubai.com,Harbor Real Estate,https://harbordubai.com,N/A,3.8s,2026-09-11T14:05:25.565424,Delivered
hello@luxuryproperty.com,LuxuryProperty.com,https://luxuryproperty.com,N/A,3.8s,2026-09-11T14:10:28.471245,Delivered
sahilsheoran851@gmail.com,Project Chaiwala,https://projectchaiwala.com,48,4.6s,2026-09-12T12:50:30.443160,Error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)
sahilsheoran851@gmail.com,Project Chaiwala,https://projectchaiwala.com,48,4.6s,2026-09-12T12:51:40.320596,Delivered
sahilsheoran851@gmail.com,Arcadia Fragrances,https://arcadiabyamna.com,34,5.6s,2026-09-12T12:52:12.302432,Delivered
sahilsheoran851@gmail.com,Sand Dollar Dubai,https://sanddollardubai.com,34,5.6s,2026-09-12T12:54:55.557499,Delivered
sahilsheoran851@gmail.com,Sand Dollar Dubai,https://sanddollardubai.com,34,5.6s,2026-09-12T13:01:15.413499,Delivered
sahilsheoran851@gmail.com,Sand Dollar Dubai,https://sanddollardubai.com,34,5.6s,2026-09-12T13:18:18.348300,Delivered
sahilsheoran851@gmail.com,Sand Dollar Dubai,https://sanddollardubai.com,46,4.4s,2026-09-12T13:37:19.858598,Delivered
feedback@istudiosg.com,Standpoint Real Estate,https://standpointrealestate.ae,34,5.6s,2026-09-14T12:37:52.838836,Delivered
info@primocapital.ae,Primo Capital Real Estate,https://primocapital.ae,34,5.6s,2026-09-14T12:42:59.752038,Delivered
info@skyviewdubai.com,Sky View Real Estate,https://skyviewdubai.com,34,5.6s,2026-09-14T12:48:07.062095,Delivered
info@range.ae,Range International Property,https://range.ae,34,5.6s,2026-09-14T12:53:15.329846,Delivered
info@patriot.ae,Patriot Real Estate,https://patriot.ae,34,5.6s,2026-09-14T12:58:23.149544,Delivered
info@pleasantpropertiesdubai.com,Pleasant Real Estate,https://pleasantpropertiesdubai.com,34,5.6s,2026-09-14T13:03:29.874519,Delivered
info@uniqueproperties.ae,Unique Properties,https://uniqueproperties.ae,34,5.6s,2026-09-14T13:08:36.019598,Delivered
info@valoremdxb.ae,Valorem Real Estate,https://valorem.ae,34,5.6s,2026-09-14T13:13:42.262245,Delivered
hind@dubaifirsthome.com,Real Choice Real Estate,https://realchoicedubai.com,34,5.6s,2026-09-14T13:18:49.233246,Delivered
info@rockyrealestate.com,Rocky Real Estate,https://rockyrealestate.com,34,5.6s,2026-09-14T13:23:58.053584,Delivered
info@almira.ae,Al Mira Real Estate,https://almira.ae,34,5.6s,2026-09-14T13:29:05.806644,Delivered
info@capriuae.com,Capri Realty Real Estate,https://capriuae.com,34,5.6s,2026-09-14T13:34:10.775646,Delivered
info@benchmarkproperties.ae,Benchmark Properties,https://benchmarkproperties.ae,34,5.6s,2026-09-14T13:39:16.183055,Delivered
info@ellingtongroup.com,Ellington Properties,https://ellingtonproperties.ae,34,5.6s,2026-09-14T13:44:22.952503,Delivered
info@select-group.ae,Select Group,https://select-group.ae,46,4.4s,2026-09-14T13:49:28.555626,Delivered
media@omniyat.com,Omniyat,https://omniyat.com,46,4.4s,2026-09-14T13:54:32.940934,Delivered
customerservice@bloomholding.com,Bloom Holding,https://bloomholding.com,34,5.6s,2026-09-14T13:59:39.091644,Delivered
hello@imkan.ae,Imkan Properties,https://imkan.ae,72,2.8s,2026-09-14T14:04:44.225332,Delivered
info@reportageuae.com,Reportage Properties,https://reportageuae.com,34,5.6s,2026-09-14T14:09:50.503901,Delivered
contactus@deyaar.ae,Deyaar Development,https://deyaar.ae,34,5.6s,2026-09-14T14:14:55.918757,Delivered
